,Title,Topic Label,Accetpance,Difficulty,Frequency
2125,2125. Number of Laser Beams in a Bank,"['Array', 'Math', 'String', '1+']",82.2%,Medium,26.8203%;
2126,2126. Destroying Asteroids,"['Array', 'Greedy', 'Sorting']",49.9%,Medium,8.28335%;
2127,2127. Maximum Employees to Be Invited to a Meeting,"['Depth-First Search', 'Graph', '1+']",34.6%,Hard,72.1166%;
2128,2128. Remove All Ones With Row and Column Flips,"['Array', 'Math', 'Bit Manipulation', '1+']",76.3%,Medium,35.377%;
2129,2129. Capitalize the Title,['String'],62.0%,Easy,15.1876%;
2130,2130. Maximum Twin Sum of a Linked List,"['Linked List', 'Two Pointers', 'Stack']",80.7%,Medium,36.0944%;
2131,2131. Longest Palindrome by Concatenating Two Letter Words,"['Array', 'Hash Table', 'String', '2+']",48.5%,Medium,42.4634%;
2132,2132. Stamping the Grid,"['Array', 'Greedy', 'Matrix', '1+']",31.8%,Hard,61.2293%;
2133,2133. Check if Every Row and Column Contains All Numbers,"['Array', 'Hash Table', 'Matrix']",52.5%,Easy,31.7834%;
2134,2134. Minimum Swaps to Group All 1's Together II,"['Array', 'Sliding Window']",51.3%,Medium,45.4669%;
2135,2135. Count Words Obtained After Adding a Letter,"['Array', 'Hash Table', 'String', '2+']",42.8%,Medium,28.6705%;
2136,2136. Earliest Possible Day of Full Bloom,"['Array', 'Greedy', 'Sorting']",73.6%,Hard,58.5018%;
2137,2137. Pour Water Between Buckets to Make Water Levels Equal,"['Array', 'Binary Search']",67.1%,Medium,0%;
2138,2138. Divide a String Into Groups of Size k,"['String', 'Simulation']",65.4%,Easy,0%;
2139,2139. Minimum Moves to Reach Target Score,"['Math', 'Greedy']",48.8%,Medium,16.411%;
2140,2140. Solving Questions With Brainpower,"['Array', 'Dynamic Programming']",46.3%,Medium,28.6705%;
2141,2141. Maximum Running Time of N Computers,"['Array', 'Binary Search', 'Greedy', '1+']",39.2%,Hard,0%;
2142,2142. The Number of Passengers in Each Bus I,['Database'],49.9%,Medium,0%;
2143,2143. Choose Numbers From Two Arrays in Range,"['Array', 'Dynamic Programming']",52.3%,Hard,0%;
2144,2144. Minimum Cost of Buying Candies With Discount,"['Array', 'Greedy', 'Sorting']",61.0%,Easy,18.8906%;
2145,2145. Count the Hidden Sequences,"['Array', 'Prefix Sum']",36.8%,Medium,35.9111%;
2146,2146. K Highest Ranked Items Within a Price Range,"['Array', 'Breadth-First Search', '3+']",41.3%,Medium,21.0813%;
2147,2147. Number of Ways to Divide a Long Corridor,"['Math', 'String', 'Dynamic Programming']",39.9%,Hard,0%;
2148,2148. Count Elements With Strictly Smaller and Greater Elements,"['Array', 'Sorting']",59.7%,Easy,17.6292%;
2149,2149. Rearrange Array Elements by Sign,"['Array', 'Two Pointers', 'Simulation']",80.8%,Medium,45.5746%;
2150,2150. Find All Lonely Numbers in the Array,"['Array', 'Hash Table', 'Counting']",60.6%,Medium,30.1546%;
2151,2151. Maximum Good People Based on Statements,"['Array', 'Backtracking', '2+']",49.2%,Hard,0%;
2152,2152. Minimum Number of Lines to Cover Points,"['Array', 'Hash Table', 'Math', '5+']",46.7%,Medium,0%;
2153,2153. The Number of Passengers in Each Bus II,['Database'],46.9%,Hard,42.1439%;
2154,2154. Keep Multiplying Found Values by Two,"['Array', 'Hash Table', 'Sorting', '1+']",72.7%,Easy,15.8486%;
2155,2155. All Divisions With the Highest Score of a Binary Array,['Array'],63.5%,Medium,14.8423%;
2156,2156. Find Substring With Given Hash Value,"['String', 'Sliding Window', '2+']",22.3%,Hard,0%;
2157,2157. Groups of Strings,"['String', 'Bit Manipulation', 'Union Find']",25.7%,Hard,30.1546%;
2158,2158. Amount of New Area Painted Each Day,"['Array', 'Segment Tree', 'Ordered Set']",54.6%,Hard,16.3206%;
2159,2159. Order Two Columns Independently,['Database'],61.1%,Medium,23.2741%;
2160,2160. Minimum Sum of Four Digit Number After Splitting Digits,"['Math', 'Greedy', 'Sorting']",87.0%,Easy,46.9614%;
2161,2161. Partition Array According to Given Pivot,"['Array', 'Two Pointers', 'Simulation']",84.7%,Medium,34.8486%;
2162,2162. Minimum Cost to Set Cooking Time,"['Math', 'Enumeration']",39.9%,Medium,25.1229%;
2163,2163. Minimum Difference in Sums After Removal of Elements,"['Array', 'Dynamic Programming', '1+']",47.6%,Hard,73.4655%;
2164,2164. Sort Even and Odd Indices Independently,"['Array', 'Sorting']",65.1%,Easy,18.7296%;
2165,2165. Smallest Value of the Rearranged Number,"['Math', 'Sorting']",51.4%,Medium,34.3739%;
2166,2166. Design Bitset,"['Array', 'Hash Table', 'Design']",31.7%,Medium,24.6832%;
2167,2167. Minimum Time to Remove All Cars Containing Illegal Goods,"['String', 'Dynamic Programming']",40.7%,Hard,0%;
2168,2168. Unique Substrings With Equal Digit Frequency,"['Hash Table', 'String', 'Rolling Hash', '2+']",59.3%,Medium,48.4923%;
2169,2169. Count Operations to Obtain Zero,"['Math', 'Simulation']",75.1%,Easy,7.9293%;
2170,2170. Minimum Operations to Make the Array Alternating,"['Array', 'Hash Table', 'Greedy', '1+']",33.2%,Medium,19.1652%;
2171,2171. Removing Minimum Number of Magic Beans,"['Array', 'Sorting', 'Prefix Sum']",42.1%,Medium,27.995%;
2172,2172. Maximum AND Sum of Array,"['Array', 'Dynamic Programming', '2+']",48.3%,Hard,39.7096%;
2173,2173. Longest Winning Streak,['Database'],54.1%,Hard,0%;
2174,2174. Remove All Ones With Row and Column Flips II,"['Array', 'Bit Manipulation', '2+']",68.2%,Medium,0%;
2175,2175. The Change in Global Rankings,['Database'],65.1%,Medium,0%;
2176,2176. Count Equal and Divisible Pairs in an Array,['Array'],79.7%,Easy,6.55163%;
2177,2177. Find Three Consecutive Integers That Sum to a Given Number,"['Math', 'Simulation']",63.9%,Medium,14.7676%;
2178,2178. Maximum Split of Positive Even Integers,"['Math', 'Backtracking', 'Greedy']",59.3%,Medium,26.6847%;
2179,2179. Count Good Triplets in an Array,"['Array', 'Binary Search', '5+']",38.4%,Hard,58.2661%;
2180,2180. Count Integers With Even Digit Sum,"['Math', 'Simulation']",65.4%,Easy,13.7409%;
2181,2181. Merge Nodes in Between Zeros,"['Linked List', 'Simulation']",86.4%,Medium,14.4042%;
2182,2182. Construct String With Repeat Limit,"['String', 'Greedy', '2+']",52.4%,Medium,30.1546%;
2183,2183. Count Array Pairs Divisible by K,"['Array', 'Math', 'Number Theory']",28.4%,Hard,52.4167%;
2184,2184. Number of Ways to Build Sturdy Brick Wall,"['Array', 'Dynamic Programming', '2+']",50.1%,Medium,46.9534%;
2185,2185. Counting Words With a Given Prefix,"['Array', 'String']",77.3%,Easy,18.9404%;
2186,2186. Minimum Number of Steps to Make Two Strings Anagram II,"['Hash Table', 'String', 'Counting']",72.0%,Medium,0%;
2187,2187. Minimum Time to Complete Trips,"['Array', 'Binary Search']",39.2%,Medium,62.2591%;
2188,2188. Minimum Time to Finish the Race,"['Array', 'Dynamic Programming']",41.7%,Hard,45.4669%;
2189,2189. Number of Ways to Build House of Cards,"['Math', 'Dynamic Programming']",62.6%,Medium,0%;
2190,2190. Most Frequent Number Following Key In an Array,"['Array', 'Hash Table', 'Counting']",60.1%,Easy,18.6239%;
2191,2191. Sort the Jumbled Numbers,"['Array', 'Sorting']",45.8%,Medium,0%;
2192,2192. All Ancestors of a Node in a Directed Acyclic Graph,"['Depth-First Search', '3+']",50.7%,Medium,28.6989%;
2193,2193. Minimum Number of Moves to Make Palindrome,"['Two Pointers', 'String', 'Greedy', '1+']",51.3%,Hard,66.8528%;
2194,2194. Cells in a Range on an Excel Sheet,['String'],85.1%,Easy,32.2284%;
2195,2195. Append K Integers With Minimal Sum,"['Array', 'Math', 'Greedy', '1+']",25.0%,Medium,16.9502%;
2196,2196. Create Binary Tree From Descriptions,"['Array', 'Hash Table', 'Tree', '3+']",72.3%,Medium,37.9803%;
2197,2197. Replace Non-Coprime Numbers in Array,"['Array', 'Math', 'Stack', '1+']",38.6%,Hard,48.7727%;
2198,2198. Number of Single Divisor Triplets,['Math'],56.1%,Medium,0%;
2199,2199. Finding the Topic of Each Post,['Database'],49.1%,Hard,0%;
2200,2200. Find All K-Distant Indices in an Array,['Array'],65.0%,Easy,16.3206%;
2201,2201. Count Artifacts That Can Be Extracted,"['Array', 'Hash Table', 'Simulation']",55.3%,Medium,0%;
2202,2202. Maximize the Topmost Element After K Moves,"['Array', 'Greedy']",22.8%,Medium,21.7064%;
2203,2203. Minimum Weighted Subgraph With the Required Paths,"['Graph', 'Shortest Path']",35.9%,Hard,37.7722%;
2204,2204. Distance to a Cycle in Undirected Graph,"['Depth-First Search', '3+']",70.3%,Hard,0%;
2205,2205. The Number of Users That Are Eligible for Discount,['Database'],50.2%,Easy,0%;
2206,2206. Divide Array Into Equal Pairs,"['Array', 'Hash Table', '2+']",73.9%,Easy,16.3206%;
2207,2207. Maximize Number of Subsequences in a String,"['String', 'Greedy', 'Prefix Sum']",33.3%,Medium,29.3886%;
2208,2208. Minimum Operations to Halve Array Sum,"['Array', 'Greedy', 'Heap (Priority Queue)']",45.4%,Medium,23.7066%;
2209,2209. Minimum White Tiles After Covering With Carpets,"['String', 'Dynamic Programming', '1+']",34.2%,Hard,45.7707%;
2210,2210. Count Hills and Valleys in an Array,['Array'],58.3%,Easy,51.9193%;
2211,2211. Count Collisions on a Road,"['String', 'Stack']",42.3%,Medium,0%;
2212,2212. Maximum Points in an Archery Competition,"['Array', 'Bit Manipulation', '2+']",49.5%,Medium,54.0298%;
2213,2213. Longest Substring of One Repeating Character,"['Array', 'String', 'Segment Tree', '1+']",30.9%,Hard,0%;
2214,2214. Minimum Health to Beat Game,"['Array', 'Greedy', 'Prefix Sum']",58.0%,Medium,59.6047%;
2215,2215. Find the Difference of Two Arrays,"['Array', 'Hash Table']",70.5%,Easy,40.6021%;
2216,2216. Minimum Deletions to Make Array Beautiful,"['Array', 'Stack', 'Greedy']",46.8%,Medium,33.6722%;
2217,2217. Find Palindrome With Fixed Length,"['Array', 'Math']",34.1%,Medium,33.8438%;
2218,2218. Maximum Value of K Coins From Piles,"['Array', 'Dynamic Programming', '1+']",48.2%,Hard,10.7775%;
2219,2219. Maximum Sum Score of Array,"['Array', 'Prefix Sum']",60.7%,Medium,0%;
2220,2220. Minimum Bit Flips to Convert Number,['Bit Manipulation'],82.3%,Easy,21.9463%;
2221,2221. Find Triangular Sum of an Array,"['Array', 'Math', 'Simulation', '1+']",78.5%,Medium,39.7293%;
2222,2222. Number of Ways to Select Buildings,"['String', 'Dynamic Programming', '1+']",51.3%,Medium,60.1793%;
2223,2223. Sum of Scores of Built Strings,"['String', 'Binary Search', '4+']",37.4%,Hard,0%;
2224,2224. Minimum Number of Operations to Convert Time,"['String', 'Greedy']",65.4%,Easy,0%;
2225,2225. Find Players With Zero or One Losses,"['Array', 'Hash Table', 'Sorting', '1+']",72.7%,Medium,58.4103%;
2226,2226. Maximum Candies Allocated to K Children,"['Array', 'Binary Search']",36.7%,Medium,20.6084%;
2227,2227. Encrypt and Decrypt Strings,"['Array', 'Hash Table', 'String', '2+']",39.4%,Hard,48.4923%;
2228,2228. Users With Two Purchases Within Seven Days,['Database'],44.0%,Medium,0%;
2229,2229. Check if an Array Is Consecutive,['Array'],61.1%,Easy,0%;
2230,2230. The Users That Are Eligible for Discount,['Database'],49.5%,Easy,0%;
2231,2231. Largest Number After Digit Swaps by Parity,"['Sorting', 'Heap (Priority Queue)']",61.0%,Easy,42.832%;
2232,2232. Minimize Result by Adding Parentheses to Expression,"['String', 'Enumeration']",65.8%,Medium,72.3221%;
2233,2233. Maximum Product After K Increments,"['Array', 'Greedy', 'Heap (Priority Queue)']",41.1%,Medium,0%;
2234,2234. Maximum Total Beauty of the Gardens,"['Array', 'Two Pointers', '3+']",28.5%,Hard,43.0099%;
2235,2235. Add Two Integers,['Math'],88.6%,Easy,85.1966%;
2236,2236. Root Equals Sum of Children,"['Tree', 'Binary Tree']",84.9%,Easy,44.8064%;
2237,2237. Count Positions on Street With Required Brightness,"['Array', 'Prefix Sum']",64.6%,Medium,30.1546%;
2238,2238. Number of Times a Driver Was a Passenger,['Database'],73.7%,Medium,0%;
2239,2239. Find Closest Number to Zero,['Array'],45.5%,Easy,43.5173%;
2240,2240. Number of Ways to Buy Pens and Pencils,"['Math', 'Enumeration']",56.9%,Medium,14.8423%;
2241,2241. Design an ATM Machine,"['Array', 'Greedy', 'Design']",38.9%,Medium,15.5482%;
2242,2242. Maximum Score of a Node Sequence,"['Array', 'Graph', 'Sorting', '1+']",37.9%,Hard,42.1439%;
2243,2243. Calculate Digit Sum of a String,"['String', 'Simulation']",66.3%,Easy,24.344%;
2244,2244. Minimum Rounds to Complete All Tasks,"['Array', 'Hash Table', 'Greedy', '1+']",62.9%,Medium,89.6678%;
2245,2245. Maximum Trailing Zeros in a Cornered Path,"['Array', 'Matrix', 'Prefix Sum']",35.1%,Medium,27.3577%;
2246,2246. Longest Path With Different Adjacent Characters,"['Array', 'String', 'Tree', '3+']",55.9%,Hard,79.1034%;
2247,2247. Maximum Cost of Trip With K Highways,"['Dynamic Programming', '3+']",50.8%,Hard,48.4923%;
2248,2248. Intersection of Multiple Arrays,"['Array', 'Hash Table', 'Counting']",68.7%,Easy,32.8501%;
2249,2249. Count Lattice Points Inside a Circle,"['Array', 'Hash Table', 'Math', '2+']",50.5%,Medium,16.3206%;
2250,2250. Count Number of Rectangles Containing Each Point,"['Array', 'Binary Search', '2+']",34.1%,Medium,13.5957%;
2251,2251. Number of Flowers in Full Bloom,"['Array', 'Hash Table', '4+']",51.3%,Hard,36.7581%;
2252,2252. Dynamic Pivoting of a Table,['Database'],58.9%,Hard,0%;
2253,2253. Dynamic Unpivoting of a Table,['Database'],68.4%,Hard,0%;
2254,2254. Design Video Sharing Platform,"['Hash Table', 'Stack', 'Design', '1+']",65.2%,Hard,0%;
2255,2255. Count Prefixes of a Given String,"['Array', 'String']",72.9%,Easy,6.79816%;
2256,2256. Minimum Average Difference,"['Array', 'Prefix Sum']",43.1%,Medium,74.0065%;
2257,2257. Count Unguarded Cells in the Grid,"['Array', 'Matrix', 'Simulation']",52.2%,Medium,0%;
2258,2258. Escape the Spreading Fire,"['Array', 'Binary Search', '2+']",35.1%,Hard,67.8425%;
2259,2259. Remove Digit From Number to Maximize Result,"['String', 'Greedy', 'Enumeration']",46.3%,Easy,26.4477%;
2260,2260. Minimum Consecutive Cards to Pick Up,"['Array', 'Hash Table', 'Sliding Window']",51.3%,Medium,22.3734%;
2261,2261. K Divisible Elements Subarrays,"['Array', 'Hash Table', 'Trie', '3+']",48.0%,Medium,0%;
2262,2262. Total Appeal of A String,"['Hash Table', 'String', '1+']",56.8%,Hard,23.7066%;
2263,2263. Make Array Non-decreasing or Non-increasing,"['Dynamic Programming', 'Greedy']",67.2%,Hard,0%;
2264,2264. Largest 3-Same-Digit Number in String,['String'],59.5%,Easy,12.255%;
2265,2265. Count Nodes Equal to Average of Subtree,"['Tree', 'Depth-First Search', 'Binary Tree']",85.2%,Medium,25.0407%;
2266,2266. Count Number of Texts,"['Hash Table', 'Math', 'String', '1+']",47.1%,Medium,12.5261%;
2267,2267. Check if There Is a Valid Parentheses String Path,"['Array', 'Dynamic Programming', 'Matrix']",38.1%,Hard,49.9577%;
2268,2268. Minimum Number of Keypresses,"['Array', 'String', 'Greedy', '2+']",73.2%,Medium,56.2272%;
2269,2269. Find the K-Beauty of a Number,"['Math', 'String', 'Sliding Window']",57.7%,Easy,25.5432%;
2270,2270. Number of Ways to Split Array,"['Array', 'Prefix Sum']",45.6%,Medium,21.0059%;
2271,2271. Maximum White Tiles Covered by a Carpet,"['Array', 'Binary Search', 'Greedy', '2+']",33.0%,Medium,20.3521%;
2272,2272. Substring With Largest Variance,"['Array', 'Dynamic Programming']",37.0%,Hard,98.6167%;
2273,2273. Find Resultant Array After Removing Anagrams,"['Array', 'Hash Table', 'String', '1+']",58.4%,Easy,47.2791%;
2274,2274. Maximum Consecutive Floors Without Special Floors,"['Array', 'Sorting']",52.1%,Medium,29.3886%;
2275,2275. Largest Combination With Bitwise AND Greater Than Zero,"['Array', 'Hash Table', '2+']",72.4%,Medium,35.9339%;
2276,2276. Count Integers in Intervals,"['Design', 'Segment Tree', 'Ordered Set']",34.4%,Hard,55.646%;
2277,2277. Closest Node to Path in Tree,"['Array', 'Tree', 'Depth-First Search', '1+']",63.7%,Hard,0%;
2278,2278. Percentage of Letter in String,['String'],73.9%,Easy,6.24181%;
2279,2279. Maximum Bags With Full Capacity of Rocks,"['Array', 'Greedy', 'Sorting']",67.7%,Medium,70.6497%;
2280,2280. Minimum Lines to Represent a Line Chart,"['Array', 'Math', 'Geometry', '2+']",24.3%,Medium,30.1546%;
2281,2281. Sum of Total Strength of Wizards,"['Array', 'Stack', 'Monotonic Stack', '1+']",27.4%,Hard,94.8675%;
2282,2282. Number of People That Can Be Seen in a Grid,"['Array', 'Stack', 'Matrix', '1+']",49.6%,Medium,0%;
2283,2283. Check if Number Has Equal Digit Count and Digit Value,"['Hash Table', 'String', 'Counting']",73.3%,Easy,3.10613%;
2284,2284. Sender With Largest Word Count,"['Array', 'Hash Table', 'String', '1+']",56.1%,Medium,18.0031%;
2285,2285. Maximum Total Importance of Roads,"['Greedy', 'Graph', 'Sorting', '1+']",60.7%,Medium,27.8646%;
2286,2286. Booking Concert Tickets in Groups,"['Binary Search', 'Design', '2+']",15.4%,Hard,0%;
2287,2287. Rearrange Characters to Make Target String,"['Hash Table', 'String', 'Counting']",58.1%,Easy,41.7083%;
2288,2288. Apply Discount to Prices,['String'],27.9%,Medium,42.5217%;
2289,2289. Steps to Make Array Non-decreasing,"['Array', 'Linked List', 'Stack', '1+']",21.1%,Medium,44.6755%;
2290,2290. Minimum Obstacle Removal to Reach Corner,"['Array', 'Breadth-First Search', '4+']",49.5%,Hard,31.8564%;
2291,2291. Maximum Profit From Trading Stocks,"['Array', 'Dynamic Programming']",45.5%,Medium,54.915%;
2292,2292. Products With Three or More Orders in Two Consecutive Years,['Database'],39.3%,Medium,15.5482%;
2293,2293. Min Max Game,"['Array', 'Simulation']",63.8%,Easy,19.4482%;
2294,2294. Partition Array Such That Maximum Difference Is K,"['Array', 'Greedy', 'Sorting']",72.7%,Medium,28.5168%;
2295,2295. Replace Elements in an Array,"['Array', 'Hash Table', 'Simulation']",57.6%,Medium,14.4755%;
2296,2296. Design a Text Editor,"['Linked List', 'String', 'Stack', '3+']",40.7%,Hard,60.9765%;
2297,2297. Jump Game VIII,"['Array', 'Dynamic Programming', '4+']",56.1%,Medium,25.1229%;
2298,2298. Tasks Count in the Weekend,['Database'],84.7%,Medium,0%;
2299,2299. Strong Password Checker II,['String'],56.3%,Easy,9.93761%;
2300,2300. Successful Pairs of Spells and Potions,"['Array', 'Two Pointers', '2+']",32.4%,Medium,6.94803%;
2301,2301. Match Substring After Replacement,"['Array', 'Hash Table', 'String', '1+']",39.4%,Hard,35.377%;
2302,2302. Count Subarrays With Score Less Than K,"['Array', 'Binary Search', '2+']",52.2%,Hard,25.1229%;
2303,2303. Calculate Amount Paid in Taxes,"['Array', 'Simulation']",64.1%,Easy,51.09%;
2304,2304. Minimum Path Cost in a Grid,"['Array', 'Dynamic Programming', 'Matrix']",65.7%,Medium,39.1672%;
2305,2305. Fair Distribution of Cookies,"['Array', 'Dynamic Programming', '3+']",61.9%,Medium,18.6239%;
2306,2306. Naming a Company,"['Array', 'Hash Table', 'String', '2+']",47.1%,Hard,85.9203%;
2307,2307. Check for Contradictions in Equations,"['Array', 'Depth-First Search', '2+']",43.4%,Hard,0%;
2308,2308. Arrange Table by Gender,['Database'],72.8%,Medium,14.8423%;
2309,2309. Greatest English Letter in Upper and Lower Case,"['Hash Table', 'String', 'Enumeration']",68.8%,Easy,7.62216%;
2310,2310. Sum of Numbers With Units Digit K,"['Math', 'Dynamic Programming', '2+']",25.8%,Medium,10.0509%;
2311,2311. Longest Binary Subsequence Less Than or Equal to K,"['String', 'Dynamic Programming', '2+']",37.1%,Medium,30.9747%;
2312,2312. Selling Pieces of Wood,"['Array', 'Dynamic Programming', '1+']",48.4%,Hard,40.7349%;
2313,2313. Minimum Flips in Binary Tree to Get Result,"['Dynamic Programming', 'Tree', '2+']",63.6%,Hard,0%;
2314,2314. The First Day of the Maximum Recorded Degree in Each City,['Database'],72.9%,Medium,0%;
2315,2315. Count Asterisks,['String'],82.1%,Easy,28.5508%;
2316,2316. Count Unreachable Pairs of Nodes in an Undirected Graph,"['Depth-First Search', '3+']",38.9%,Medium,23.4795%;
2317,2317. Maximum XOR After Operations,"['Array', 'Math', 'Bit Manipulation']",79.1%,Medium,16.411%;
2318,2318. Number of Distinct Roll Sequences,"['Dynamic Programming', 'Memoization']",56.3%,Hard,23.2741%;
2319,2319. Check if Matrix Is X-Matrix,"['Array', 'Matrix']",66.8%,Easy,28.4733%;
2320,2320. Count Number of Ways to Place Houses,['Dynamic Programming'],40.6%,Medium,14.8423%;
2321,2321. Maximum Score Of Spliced Array,"['Array', 'Dynamic Programming']",55.7%,Hard,32.809%;
2322,2322. Minimum Score After Removals on a Tree,"['Array', 'Bit Manipulation', 'Tree', '1+']",50.8%,Hard,48.4923%;
2323,2323. Find Minimum Time to Finish All Jobs II,"['Array', 'Greedy', 'Sorting']",73.8%,Medium,0%;
2324,2324. Product Sales Analysis IV,['Database'],77.9%,Medium,0%;
2325,2325. Decode the Message,"['Hash Table', 'String']",84.7%,Easy,24.8045%;
2326,2326. Spiral Matrix IV,"['Array', 'Linked List', 'Matrix', '1+']",74.7%,Medium,26.3178%;
2327,2327. Number of People Aware of a Secret,"['Dynamic Programming', 'Queue', '1+']",44.8%,Medium,40.7349%;
2328,2328. Number of Increasing Paths in a Grid,"['Array', 'Dynamic Programming', '6+']",47.6%,Hard,36.517%;
2329,2329. Product Sales Analysis V,['Database'],68.5%,Easy,0%;
2330,2330. Valid Palindrome IV,"['Two Pointers', 'String']",75.7%,Medium,0%;
2331,2331. Evaluate Boolean Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",78.5%,Easy,19.4164%;
2332,2332. The Latest Time to Catch a Bus,"['Array', 'Two Pointers', '2+']",23.4%,Medium,41.8981%;
2333,2333. Minimum Sum of Squared Difference,"['Array', 'Math', 'Sorting', '1+']",25.5%,Medium,14.194%;
2334,2334. Subarray With Elements Greater Than Varying Threshold,"['Array', 'Stack', 'Union Find', '1+']",41.1%,Hard,37.6083%;
2335,2335. Minimum Amount of Time to Fill Cups,"['Array', 'Greedy', 'Sorting', '1+']",56.3%,Easy,17.8678%;
2336,2336. Smallest Number in Infinite Set,"['Hash Table', 'Design', '1+']",71.3%,Medium,17.1707%;
2337,2337. Move Pieces to Obtain a String,"['Two Pointers', 'String']",48.0%,Medium,50.0961%;
2338,2338. Count the Number of Ideal Arrays,"['Math', 'Dynamic Programming', '2+']",26.3%,Hard,0%;
2339,2339. All the Matches of the League,['Database'],88.1%,Easy,0%;
2340,2340. Minimum Adjacent Swaps to Make a Valid Array,"['Array', 'Greedy']",75.1%,Medium,59.3381%;
2341,2341. Maximum Number of Pairs in Array,"['Array', 'Hash Table', 'Counting']",76.0%,Easy,20.4936%;
2342,2342. Max Sum of a Pair With Equal Sum of Digits,"['Array', 'Hash Table', 'Sorting', '1+']",53.4%,Medium,42.4834%;
2343,2343. Query Kth Smallest Trimmed Number,"['Array', 'String', '5+']",41.3%,Medium,11.174%;
2344,2344. Minimum Deletions to Make Array Divisible,"['Array', 'Math', 'Sorting', '2+']",56.8%,Hard,29.1829%;
2345,2345. Finding the Number of Visible Mountains,"['Array', 'Stack', 'Sorting', '1+']",42.5%,Medium,35.1184%;
2346,2346. Compute the Rank as a Percentage,['Database'],32.8%,Medium,0%;
2347,2347. Best Poker Hand,"['Array', 'Hash Table', 'Counting']",60.7%,Easy,32.483%;
2348,2348. Number of Zero-Filled Subarrays,"['Array', 'Math']",57.8%,Medium,6.94803%;
2349,2349. Design a Number Container System,"['Hash Table', 'Design', '2+']",45.9%,Medium,27.6365%;
2350,2350. Shortest Impossible Sequence of Rolls,"['Array', 'Hash Table', 'Greedy']",68.3%,Hard,40.7349%;
2351,2351. First Letter to Appear Twice,"['Hash Table', 'String', 'Counting']",75.0%,Easy,35.0334%;
2352,2352. Equal Row and Column Pairs,"['Array', 'Hash Table', 'Matrix', '1+']",70.7%,Medium,12.9237%;
2353,2353. Design a Food Rating System,"['Hash Table', 'Design', '2+']",34.7%,Medium,24.6832%;
2354,2354. Number of Excellent Pairs,"['Array', 'Hash Table', '2+']",46.0%,Hard,37.7722%;
2355,2355. Maximum Number of Books You Can Take,"['Array', 'Dynamic Programming', '2+']",44.0%,Hard,75.241%;
2356,2356. Number of Unique Subjects Taught by Each Teacher,['Database'],90.2%,Easy,12.5261%;
2357,2357. Make Array Zero by Subtracting Equal Amounts,"['Array', 'Hash Table', 'Greedy', '3+']",72.7%,Easy,55.5292%;
2358,2358. Maximum Number of Groups Entering a Competition,"['Array', 'Math', 'Binary Search', '1+']",67.7%,Medium,16.7825%;
2359,2359. Find Closest Node to Given Two Nodes,"['Depth-First Search', 'Graph']",46.2%,Medium,78.3058%;
2360,2360. Longest Cycle in a Graph,"['Depth-First Search', 'Graph', '1+']",38.9%,Hard,50.2331%;
2361,2361. Minimum Costs Using the Train Line,"['Array', 'Dynamic Programming']",76.1%,Hard,73.2274%;
2362,2362. Generate the Invoice,['Database'],80.8%,Hard,0%;
2363,2363. Merge Similar Items,"['Array', 'Hash Table', 'Sorting', '1+']",75.6%,Easy,12.4028%;
2364,2364. Count Number of Bad Pairs,"['Array', 'Hash Table']",41.1%,Medium,18.1128%;
2365,2365. Task Scheduler II,"['Array', 'Hash Table', 'Simulation']",46.7%,Medium,42.5217%;
2366,2366. Minimum Replacements to Sort the Array,"['Array', 'Math', 'Greedy']",40.9%,Hard,19.1652%;
2367,2367. Number of Arithmetic Triplets,"['Array', 'Hash Table', 'Two Pointers', '1+']",83.6%,Easy,32.1209%;
2368,2368. Reachable Nodes With Restrictions,"['Array', 'Hash Table', 'Tree', '3+']",57.8%,Medium,21.2524%;
2369,2369. Check if There is a Valid Partition For The Array,"['Array', 'Dynamic Programming']",40.1%,Medium,48.4923%;
2370,2370. Longest Ideal Subsequence,"['Hash Table', 'String', '1+']",37.8%,Medium,27.995%;
2371,2371. Minimize Maximum Value in a Grid,"['Array', 'Greedy', 'Union Find', '4+']",71.1%,Hard,0%;
2372,2372. Calculate the Influence of Each Salesperson,['Database'],85.6%,Medium,0%;
2373,2373. Largest Local Values in a Matrix,"['Array', 'Matrix']",83.3%,Easy,41.2999%;
2374,2374. Node With Highest Edge Score,"['Hash Table', 'Graph']",46.5%,Medium,26.7549%;
2375,2375. Construct Smallest Number From DI String,"['String', 'Backtracking', 'Stack', '1+']",74.5%,Medium,39.1672%;
2376,2376. Count Special Integers,"['Math', 'Dynamic Programming']",36.6%,Hard,40.869%;
2377,2377. Sort the Olympic Table,['Database'],78.4%,Easy,0%;
2378,2378. Choose Edges to Maximize Score in a Tree,"['Dynamic Programming', 'Tree', '1+']",60.2%,Medium,0%;
2379,2379. Minimum Recolors to Get K Consecutive Black Blocks,"['String', 'Sliding Window']",57.7%,Easy,32.5787%;
2380,2380. Time Needed to Rearrange a Binary String,"['String', 'Dynamic Programming', '1+']",49.0%,Medium,52.2295%;
2381,2381. Shifting Letters II,"['Array', 'String', 'Prefix Sum']",34.9%,Medium,39.1672%;
2382,2382. Maximum Segment Sum After Removals,"['Array', 'Union Find', 'Prefix Sum', '1+']",47.8%,Hard,50.0961%;
2383,2383. Minimum Hours of Training to Win a Competition,"['Array', 'Greedy']",41.0%,Easy,15.4894%;
